word,definition,variants,letter,original
Шеломчатый,с выпуклой шляпкой.,,Ш,Шеломчатый
Шерстни,шершни.,,Ш,Шерстни
Шерстобит,"тот, кто бьет, треплет, пушит шерсть.",,Ш,Шерстобит
Шестная говядина,то есть вяленная на шестах.,,Ш,Шестная говядина
Шесток,площадка перед устьем русской печи.,,Ш,Шесток
Шестокрыл,таблицы для гадания по знакам Зодиака и по звездам.,,Ш,Шестокрыл
Шехонская осетрина,выловленная в Шексне.,,Ш,Шехонская осетрина
Шипок,"роза, розовый.",шипковый,Ш,"Шипок, шипковый"
Ширинка,"женский носовой или шейный платок, расшитый, иногда с кисточками.",,Ш,Ширинка
Ширинка,"полотенце, полотнище, кусок ткани во всю ширину.",,Ш,Ширинка
Шишки,сладкие булочки или печенье круглой формы.,,Ш,Шишки
Шолом,"крыша; навес, крыша на столбах.",,Ш,Шолом
Шолуди,"сыпь по телу, струпья, короста.",,Ш,Шолуди
Шпага,"оружие, состоящее из прямого клинка и эфеса.",,Ш,Шпага
Штоф,"стеклянный четырехугольный сосуд с коротким горлом; мера, содержащая в себе кружку, или восьмую часть ведра.",,Ш,Штоф
Шубка женская,"покроем напоминала сорочку до пят, без разреза на полы.",,Ш,Шубка женская
Щапливый,щеголеватый.,,Щ,Щапливый
Щедровитый,"рябой, от слова «щедрина» (или «шадрина») – следы от оспы на лице.",,Щ,Щедровитый
Щепа,деревянная посуда.,,Щ,Щепа
Щербота,ущербность.,,Щ,Щербота
Щи двои,"вообще похлебка, всякий суп с приправами, но без мяса, дичи или рыбы.",,Щ,Щи двои
Щи кислые,"овощной напиток вроде кваса, который можно было заправлять крупой или овощами.",,Щ,Щи кислые
Эдиция,издание.,,Э,Эдиция
Элегия,"род стихотворения, в котором выражается грустное или меланхолическое чувство.",,Э,Элегия
Эпитафия,надпись на надгробном памятнике.,,Э,Эпитафия
Эпитимия,"духовное наказание (пост, длительные молитвы и т. д.).",,Э,Эпитимия
Эскадрон,часть или отряд конного полка.,,Э,Эскадрон
Эфесиянцы,жители Эфеса.,,Э,Эфесиянцы
Юже,"что, которую.",,Ю,Юже
Юр,высокое место.,,Ю,Юр
Яглы,"общее название некоторых крупяных продуктов, получаемых из остролистных растений, например – просо (ягль – ячная крупа).",,Я,Яглы
Ядение,"еда, пища, процесс еды.",,Я,Ядение
Яже,"что, которая.",,Я,Яже
Язык,"народ, племя.",,Я,Язык
Якши,"хорошо, ладно.",,Я,Якши (тат.)
Ялая,бесплодная (о скоте).,яловая,Я,"Ялая, яловая"
Яловая,нетелившаяся корова.,,Я,Яловая
Ямщик,"казенный крестьянин, для которого подушная подать была заменена ездой на своих лошадях по почтовым трактам.",,Я,Ямщик
Япанча,"накидка, широкий плащ, длинное верхнее платье без рукавов.",,Я,Япанча
Яровчаты,"из явора, постоянный эпитет для гуслей.",,Я,Яровчаты
Ярые зайцы,"белые, весенние.",,Я,Ярые зайцы
Ярыжка,пьяница.,,Я,Ярыжка
Ярь,яровой хлеб.,ярица,Я,"Ярь, ярица"
